Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad ,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
Ahmedabad ,"[ 4438359.30160023 12198692.78169187 -1628022.29183898  1962545.75363021
   401734.99256592]",19525413.76896436,"[np.float64(3.2413793103448274), np.float64(1978.503448275862), np.float64(0.8931034482758621), np.float64(0.04482758620689655), np.float64(0.06206896551724138)]","[np.float64(0.9118065589538433), np.float64(1480.4459306021229), np.float64(0.30898168061169357), np.float64(0.2069252853610689), np.float64(0.24128076806256418)]"
